,uid,target
0,768315176,1
1,768311837,1
2,768311634,1
3,768309718,1
4,768309717,1
5,768309668,1
6,768309662,1
7,767885697,1
8,767885220,1
9,767873646,1
10,767872930,1
11,767863079,1
12,767860881,1
13,767860128,1
14,767855827,1
15,767855757,1
16,767855716,1
17,767850237,1
18,767850219,1
19,767850216,1
20,767844972,1
21,767840004,1
22,767834638,1
23,767829694,1
24,767829680,1
25,767829623,1
26,767826871,1
27,767824848,1
28,767824796,1
29,767822487,1
30,767820668,1
31,767818278,1
32,767818163,1
33,767813981,1
34,767813840,1
35,767813832,1
36,767806432,1
37,767805079,1
38,767804765,1
39,767373629,1
40,767366176,1
41,767363592,1
42,767361947,1
43,767361829,1
44,767361535,1
45,767352542,1
46,767351691,1
47,767351150,1
48,767350446,1
49,767341427,1
50,767179050,1
51,767096634,1
52,767083027,1
53,766841819,1
54,766829772,1
55,766453124,1
56,766401576,1
57,766316375,1
58,766277151,1
59,766202137,1
60,766201717,1
61,766201492,1
62,766199808,1
63,766190281,1
64,766187074,1
65,766185735,1
66,766185053,1
67,765834916,1
68,765784075,1
69,765775971,1
70,765767917,1
71,765761525,1
72,765748123,1
73,765724768,1
74,765690744,1
75,765659443,1
76,765651213,1
77,765624359,1
78,765607113,1
79,765519645,1
80,765518574,1
81,765283169,1
82,765199547,1
83,765199399,1
84,765199391,1
85,765199330,1
86,765199071,1
87,765198933,1
88,765198925,1
89,765198905,1
90,765198880,1
91,765198879,1
92,765198853,1
93,765198798,1
94,765198749,1
95,765184389,1
96,765102082,1
97,765101887,1
98,765101875,1
99,765101050,1
100,765101041,1
101,765092473,1
102,765091063,1
103,765089860,1
104,765045068,1
105,765021475,1
106,765021371,1
107,765019515,1
108,765019297,1
109,765019214,1
110,764974114,1
111,764870819,1
112,764867572,1
113,764838999,1
114,764797722,1
115,764795303,1
116,764794472,1
117,764793096,1
118,764744163,1
119,764724671,1
120,764703727,1
121,764703613,1
122,764703609,1
123,764703573,1
124,764703544,1
125,764667695,1
126,764658176,1
127,764658101,1
128,764658097,1
129,764522099,1
130,764492397,1
131,764489559,1
132,764483951,1
133,764478428,1
134,764475705,1
135,764398443,1
136,764295031,1
137,764276844,1
138,763973273,1
139,763970892,1
140,763967905,1
141,763825408,1
142,763108132,1
143,762794090,1
144,762612481,1
145,762599768,1
146,762548245,1
147,762491092,1
148,762490014,1
149,762483364,1
150,762458417,1
151,762329159,1
152,761776828,1
153,761653835,1
154,761619378,1
155,761423489,1
156,761412890,1
157,761412860,1
158,761407223,1
159,761404821,1
160,761404786,1
161,761238124,1
162,761219480,1
163,761191517,1
164,761143599,1
165,761066027,1
166,760997166,1
167,760944384,1
168,760942295,1
169,760939827,1
170,760937574,1
171,760928760,1
172,760928743,1
173,760928739,1
174,760928738,1
175,760922569,1
176,760902821,1
177,760816795,1
178,760793181,1
179,760787533,1
180,760766660,1
181,760766606,1
182,760766463,1
183,760760941,1
184,760704118,1
185,760572084,1
186,760530222,1
187,760513288,1
188,760510500,1
189,760507638,1
190,760506838,1
191,760506256,1
192,760490814,1
193,760490294,1
194,760435281,1
195,760433304,1
196,760311185,1
197,760282206,1
198,760281764,1
199,760275819,1
200,760237402,1
201,760229584,1
202,760223568,1
203,760223108,1
204,760222496,1
205,760205963,1
206,760142339,1
207,760132157,1
208,760124796,1
209,760102179,1
210,760095761,1
211,760086808,1
212,759979609,1
213,759853043,1
214,759383485,1
215,759382360,1
216,758727657,1
217,758720915,1
218,758710610,1
219,758709733,1
220,758708425,1
221,758705855,1
222,758691382,1
223,758547621,1
224,758547612,1
225,758547534,1
226,758543556,1
227,758540859,1
228,758539767,1
229,758538088,1
230,758375806,1
231,757874121,1
232,757743714,1
233,757573142,1
234,757564508,1
235,757472707,1
236,757424814,1
237,757384669,1
238,757383680,1
239,757266013,1
240,757257710,1
241,757256335,1
242,757254403,1
243,757223841,1
244,757221939,1
245,757213980,1
246,757207064,1
247,757189718,1
248,757173625,1
249,757173418,1
250,757150290,1
251,757048535,1
252,757048447,1
253,757047559,1
254,757046744,1
255,757046655,1
256,757045926,1
257,757045384,1
258,757044523,1
259,757044485,1
260,757044420,1
261,757034743,1
262,757033479,1
263,757029549,1
264,757029548,1
265,757026647,1
266,757022950,1
267,757020353,1
268,757016387,1
269,757013510,1
270,757010179,1
271,757007957,1
272,757007865,1
273,757007096,1
274,757006467,1
275,757006410,1
276,757003906,1
277,757003125,1
278,757003056,1
279,757003044,1
280,757003040,1
281,757002979,1
282,757002555,1
283,757002297,1
284,757002234,1
285,757001958,1
286,757001804,1
287,757001733,1
288,757001715,1
289,757001640,1
290,757001533,1
291,757001528,1
292,756986105,1
293,756959676,1
294,756955842,1
295,756954647,1
296,756948532,1
297,756945844,1
298,756935580,1
299,756921851,1
300,756920547,1
301,756920491,1
302,756907443,1
303,756905101,1
304,756903744,1
305,756898300,1
306,756897774,1
307,756890844,1
308,756884330,1
309,756851591,1
310,756839987,1
311,756748214,1
312,756748046,1
313,756690010,1
314,756682606,1
315,756682597,1
316,756662059,1
317,756641010,1
318,756640240,1
319,756635239,1
320,756635172,1
321,756635156,1
322,756635141,1
323,756632398,1
324,756631414,1
325,756621112,1
326,756614415,1
327,756604257,1
328,756486366,1
329,756484611,1
330,756445056,1
331,756443526,1
332,756430228,1
333,756413487,1
334,756412106,1
335,756405996,1
336,756379284,1
337,756371083,1
338,756369493,1
339,756364348,1
340,756362323,1
341,756357889,1
342,756356562,1
343,756355349,1
344,756352769,1
345,756351980,1
346,756349998,1
347,756349596,1
348,756346740,1
349,756345984,1
350,756345292,1
351,756276824,1
352,756276673,1
353,756276562,1
354,756276171,1
355,756275357,1
356,756273509,1
357,756271187,1
358,756271157,1
359,756105485,1
360,756104000,1
361,756084636,1
362,756083235,1
363,756081994,1
364,756081958,1
365,756081816,1
366,756081696,1
367,756081119,1
368,756081016,1
369,756080486,1
370,756080181,1
371,756079538,1
372,756079410,1
373,756079375,1
374,756079361,1
375,756071134,1
376,756061340,1
377,756058843,1
378,756052685,1
379,756034439,1
380,756010364,1
381,756010337,1
382,756009565,1
383,756008936,1
384,756008215,1
385,756007766,1
386,756007474,1
387,756007473,1
388,756007452,1
389,756006743,1
390,756005044,1
391,755999059,1
392,755975360,1
393,755973259,1
394,755968295,1
395,755946035,1
396,755943652,1
