uid,has_photo,sex,has_mobile,followers_count,contacts,relatives,relation,personal,activities,music,movies,tv,books,about,quotes,albums,audios,friends,pages,subscriptions,videos,status,age,city,country
648249344,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,2,0,0,active,23,,
645333001,1,2,1,32,0,0,0,0,0,0,0,0,0,0,0,0,125,155,41,1,0,active,31,49,1
651165709,1,2,1,195,0,1,1,1,1,1,1,1,1,1,1,0,269,196,3257,56,10,active,42,154,1
649232401,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,deleted,,,
639664147,0,1,1,9,0,1,1,1,1,1,1,1,1,1,1,0,0,26,69,0,0,active,60,,
651264025,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,banned,,,
644513821,1,2,0,5,0,1,1,1,1,1,1,1,1,1,1,0,0,54,32,27,1,active,25,1,1
650543134,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,banned,,,
649297952,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,48,7,0,active,,,
651853859,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,deleted,,,
650018851,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,banned,,,
644055075,0,2,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,deleted,,,
649429034,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,banned,,,
651755565,0,1,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,banned,,,
